"","subj","gender","mem_pre","vis_pre","gdp_pre","cal_pre","mem_post","vis_post","gdp_post","cal_post","avg_pre","avg_post","mem_acc","mem_conf","mem_rt","vis_acc","vis_conf","vis_rt","gdp_acc","gdp_conf","gdp_rt","cal_acc","cal_conf","cal_rt","avg_acc","avg_conf","avg_rt"
"80",81,"Masculin",70,70,70,50,70,70,70,70,65,70,0.76,4.10204081632653,2.52490918949999,0.735,5.26262626262626,1.21363721399999,0.705357142857143,5.3963963963964,1.87812262482216,0.693181818181818,5.23255813953488,1.72138533416919,0.72338474025974,4.99840540372102,1.83451359062283
"81",82,"Feminin",80,80,70,90,90,80,70,80,80,80,0.805,5.315,1.22555169900004,0.71,4.955,0.626024405499986,0.685185185185185,5.06481481481481,3.11558752514504,0.717391304347826,5.87912087912088,4.10673774586174,0.729394122383253,5.30348392348392,2.2684753438767
"82",83,"Masculin",68,72,50,26,85,50,59,30,54,56,0.855,5.61111111111111,1.75162083138236,0.725,3.265,0.977837170999955,0.67741935483871,5.05376344086022,2.33575109003958,0.719626168224299,5.2803738317757,2.48814251453772,0.744261380765752,4.80256209593676,1.8883379017399
"83",84,"Masculin",70,75,65,65,52,70,65,50,68.75,59.25,0.73,4.175,1.58197562749999,0.72,4.3,1.253189347,0.692307692307692,4.57692307692308,2.20919093461533,0.708333333333333,4.5625,1.95945341874996,0.712660256410256,4.40360576923077,1.75095233196632
"84",85,"Feminin",65,70,50,55,50,50,40,60,60,50,0.81,4.1105527638191,2.30088670440506,0.715,3.59798994974874,1.172100305,0.691588785046729,3.81308411214953,4.08267129532712,0.720430107526882,4.59340659340659,2.81012573118282,0.734254723143403,4.02875835478099,2.59144600897875
"85",86,"Masculin",75,70,70,90,75,70,70,90,76.25,76.25,0.865,5.9,1.48936898612618,0.695,5.07035175879397,0.864007524000012,0.701030927835051,6.01030927835052,1.41679537571199,0.718446601941748,6.29126213592233,1.12745272112413,0.7448693824442,5.8179807932667,1.22440615174058
"86",87,"Feminin",50,70,50,75,55,60,45,60,61.25,55,0.795,3.98,1.45142807491977,0.75,2.495,0.825584634500015,0.690721649484536,4.01041666666667,2.45187359534913,0.747572815533981,4.86274509803922,2.44200842697531,0.745823616254629,3.83704044117647,1.79272368293606
"87",88,"Masculin",45,45,70,45,20,20,45,20,51.25,26.25,0.54,2.99497487437186,0.936779972499974,0.7,3.49,0.972664925000004,0.712765957446808,5.37234042553191,1.90945038169283,0.707547169811321,4.71698113207547,2.74737277817639,0.665078281814532,4.14357410799481,1.6415670143423
"88",89,"Feminin",50,65,60,60,50,60,65,65,58.75,60,0.49,4.15075376884422,1.67312657554718,0.69,4.43,0.970762018499995,0.663265306122449,4.1734693877551,2.16524106702447,0.676470588235294,4.98039215686275,2.46308693601046,0.629933973589436,4.43365382836552,1.81805414927053
"89",90,"Masculin",30,75,95,50,60,75,80,60,62.5,68.75,0.71,3.81909547738693,2.00581350796429,0.7,4.5,0.870798304999992,0.72,5.47,3.13845174300001,0.74,4.18,2.516185379,0.7175,4.49227386934673,2.13281223374107
"90",91,"Feminin",90,75,55,65,65,70,50,70,71.25,63.75,0.845,4.085,2.18088153623023,0.715,4.11,1.01493930599998,0.690909090909091,2.69090909090909,2.68761601909092,0.711111111111111,4.82222222222222,2.1161089588889,0.740505050505051,3.92703282828283,1.99988645505251
"91",92,"Masculin",90,75,60,80,80,75,60,66,76.25,70.25,0.905,5.75126903553299,2.34972295799997,0.73,4.285,1.02754057049999,0.717171717171717,4.08163265306122,2.00754919494948,0.712871287128713,5.41,2.40080387821782,0.766260751075107,4.88197542214855,1.94640415041682
"92",93,"Masculin",75,66,90,90,70,40,90,75,80.25,68.75,0.705,3.375,2.14878885495252,0.685,2.63959390862944,0.790929339999984,0.708333333333333,5.34736842105263,2.32988313854165,0.711538461538462,4.88461538461539,3.09798349326925,0.702467948717949,4.06164442857436,2.09189620669085
"93",94,"Masculin",90,70,55,70,80,60,60,80,71.25,70,0.89,4.82323232323232,1.95630433004208,0.725,2.45,0.835860818000033,0.67032967032967,3.45054945054945,3.04427767263598,0.73394495412844,5.91588785046729,5.21573528932368,0.754818656114528,4.15991740606227,2.76304452750044
"94",95,"Feminin",65,40,55,60,60,70,60,70,55,65,0.745,4.01,2.33364526367289,0.72,3.95,0.760951652500012,0.639175257731959,3.54639175257732,1.85223768721376,0.718446601941748,5.14563106796117,3.61546712990175,0.705655464918427,4.16300570513462,2.14057543332211
"95",96,"Feminin",60,20,20,50,30,30,40,20,37.5,30,0.805,3.96,1.31151781750002,0.71,3.745,0.699084250499993,0.714285714285714,4.67619047619048,2.15139048190476,0.705263157894737,3.61052631578947,2.23477970000002,0.733637218045113,3.99792919799499,1.5991930624762
"96",97,"Masculin",65,65,50,55,70,60,60,55,58.75,61.25,0.865,4.79396984924623,2.30967252699423,0.715,2.935,1.27825177549999,0.676767676767677,3.24242424242424,2.48168206060604,0.702970297029703,3.31313131313131,3.07696618910899,0.739934493449345,3.57113135120045,2.28664313805231
"97",98,"Masculin",40,50,50,60,30,25,70,90,50,53.75,0.715,3.375,1.75984983450001,0.695,3.375,1.38477665449999,0.726415094339623,4.45631067961165,3.10024984905661,0.712765957446808,5.81914893617021,6.7802711393617,0.712295262946608,4.25636490394547,3.25628686935458
"98",99,"Masculin",30,40,55,50,40,55,50,55,43.75,50,0.7,4.115,1.55650513817073,0.735,3.67,0.937753582500036,0.674157303370786,3.84269662921348,1.77833317800134,0.720720720720721,5.33333333333333,2.02044912390207,0.707469506022877,4.2402574906367,1.57326025564354
"99",100,"Feminin",80,70,40,40,50,70,40,30,57.5,47.5,0.855,6.355,1.33183719249995,0.705,5.65829145728643,0.973510634999986,0.644230769230769,4.76699029126214,2.92563619173197,0.697916666666667,5.02083333333333,2.53894921583799,0.725536858974359,5.45027877047048,1.94248330876747
"100",101,"Feminin",60,70,60,60,60,55,55,55,62.5,56.25,0.71,3.38,1.97636431089248,0.69,3.5,1.06590739800003,0.714285714285714,3.2967032967033,2.01996551610997,0.697247706422018,4.30555555555556,2.08561533652823,0.702883355176933,3.62056471306471,1.78696314038267
"101",102,"Feminin",65,45,40,50,55,50,30,65,50,50,0.78,4.81818181818182,1.56976262600004,0.725,3.74874371859296,1.0422325345,0.691489361702128,2.16304347826087,1.46692286595745,0.716981132075472,5.13,2.59279329716983,0.7283676234444,3.96499225375891,1.66792783090683
"102",104,"Feminin",85,80,55,60,75,60,60,80,70,68.75,0.77,5.03030303030303,1.535092061,0.75,4.3265306122449,1.35460034850001,0.754716981132076,4.05660377358491,2.07659576981133,0.712765957446808,5.58064516129032,1.759638956383,0.746870734644721,4.74852064435579,1.68148178392358
"103",105,"Feminin",90,60,50,90,50,70,30,80,72.5,57.5,0.78,4.5989847715736,2.63309855770271,0.715,3.84422110552764,0.99963002449997,0.735849056603774,4.125,4.25343557531317,0.680851063829787,5.75280898876404,3.74900652064922,0.72792503010839,4.58025371646632,2.90879266954127
"104",106,"Masculin",65,90,75,60,65,85,70,60,72.5,70,0.76,3.94974874371859,2.17519261749999,0.735,3.845,0.729192047999982,0.702970297029703,4.37623762376238,2.42675276930692,0.707070707070707,3.50505050505051,2.88764032222224,0.726260251025102,3.91900921813287,2.05469443925728
"105",107,"Feminin",50,50,40,60,30,60,40,60,50,47.5,0.695,3.34170854271357,2.84102097220429,0.72,4.2,1.13088188050001,0.670103092783505,3.11340206185567,2.26941147213961,0.70873786407767,3.74757281553398,3.11937266115463,0.698460239215294,3.6006708550258,2.34017174649964
"106",109,"Feminin",85,70,65,70,85,80,25,50,72.5,60,0.85,5.88,1.02048355433655,0.69,4.93,0.664156486999991,0.702970297029703,3.44,1.96657363960392,0.696969696969697,4.96938775510204,2.45941435050501,0.73498499849985,4.80484693877551,1.52765700786137
"107",110,"Masculin",70,70,50,60,50,60,60,40,62.5,52.5,0.755,4.04,1.71274746299996,0.72,3.68,1.04479989500001,0.680851063829787,4.2258064516129,1.4021701361702,0.650943396226415,3.78301886792453,1.55120374999998,0.701698615014051,3.93220632988436,1.42773031104254
"108",111,"Feminin",40,85,50,85,60,50,30,90,65,57.5,0.765,4.82,1.81244469467197,0.705,4.68,0.99143619249996,0.711111111111111,3.27777777777778,2.40537775703133,0.709090909090909,6.05555555555556,2.1549193363737,0.722550505050505,4.70833333333333,1.84104449514424
"109",112,"Masculin",70,70,60,80,95,80,50,80,70,76.25,0.87,6.005,1.26310984150001,0.69,4.855,1.16878664749996,0.645833333333333,5.14736842105263,2.69405632961528,0.711538461538462,6.50961538461539,2.76503062732675,0.729342948717949,5.629245951417,1.9727458614855
"110",113,"Feminin",70,85,50,60,40,70,20,20,66.25,37.5,0.775,3.73366834170854,1.34722327332405,0.72,3.835,0.990339633499998,0.6875,3.67708333333333,2.11847924821269,0.711538461538462,4.59223300970874,3.79275256140289,0.723509615384615,3.95949617118765,2.06219867910991
"111",114,"Masculin",60,65,30,70,40,30,30,45,56.25,36.25,0.745,3.7035175879397,1.652035276,0.69,3.94974874371859,1.175850289,0.709677419354839,4.03225806451613,2.28345283225808,0.700934579439252,5.78301886792453,2.76533623644859,0.711402999698523,4.36713581602474,1.96916865842667
"112",115,"Feminin",60,80,40,90,50,60,40,80,67.5,57.5,0.81,2.72058823529412,1.85617545618199,0.72,3.68341708542714,1.23341353600003,0.656565656565657,3.98989898989899,2.46829869292928,0.712871287128713,5.47,3.44694468613861,0.724859235923592,3.96597607765506,2.25120809281248
"113",116,"Masculin",75,80,85,75,50,60,71,70,78.75,62.75,0.695,3.59,1.39460411150001,0.685,4.59,0.84224654500001,0.731182795698925,5.14285714285714,2.44493459677423,0.682242990654206,5.03738317757009,3.10726099813085,0.698356446588283,4.59006008010681,1.94726156285127
"114",117,"Feminin",99,90,66,90,95,90,80,95,86.25,90,0.795,4.865,1.78311903943039,0.715,5.72361809045226,0.910023106000003,0.663636363636364,4.28440366972477,3.08259682736296,0.744444444444444,6.06666666666667,2.59173836565555,0.729520202020202,5.23492210671092,2.09186933461222
"115",118,"Feminin",75,80,65,70,80,50,40,65,72.5,58.75,0.86,4.62944162436548,1.80297370150002,0.69,3.12,0.887209157499974,0.721649484536082,3.09375,2.72411119720208,0.699029126213592,5.07920792079208,2.47854065727065,0.742669652687419,3.98059988628939,1.97320867836818
"116",119,"Masculin",92,88,85,85,70,60,75,65,87.5,67.5,0.78,4.275,1.84846797158649,0.73,3.325,0.871044481499966,0.690721649484536,4.90721649484536,2.16005342144744,0.699029126213592,4.49514563106796,2.97291198171988,0.724937693924532,4.25059053147833,1.96311946406345
"117",120,"Masculin",50,95,96,90,75,70,85,70,82.75,75,0.805,4.855,2.15945312049997,0.695,3.98,1.73235302649999,0.739583333333333,4.92631578947368,2.70507045937497,0.721153846153846,5.58585858585859,2.83600721346156,0.740184294871795,4.83679359383307,2.35822095495912
"118",121,"Masculin",65,55,75,70,70,70,80,70,66.25,72.5,0.695,4.52020202020202,1.97500543415387,0.73,4.525,0.707668488500015,0.704081632653061,4.98979591836735,2.43699346938771,0.725490196078431,4.94117647058824,2.49512354803924,0.713642957182873,4.7440436022894,1.90369773502021
"119",122,"Masculin",80,85,75,72,80,65,75,80,78,75,0.81,5.72727272727273,2.29720550224973,0.705,4.525,1.40735120449999,0.736842105263158,5.52631578947368,2.74199796736841,0.723809523809524,6.45192307692308,2.65968240476188,0.74391290726817,5.55762789841737,2.27655926972
"120",123,"Masculin",70,65,55,70,35,65,30,50,65,45,0.605,4.03,2.05515213600001,0.725,4.205,1.07734132299999,0.707070707070707,4.31313131313131,2.33876358585861,0.742574257425743,5.37,1.99703217326726,0.694911241124112,4.47953282828283,1.86707230453147
"121",123,"Masculin",70,65,55,70,40,80,80,70,65,67.5,0.605,4.03,2.05515213600001,0.725,4.205,1.07734132299999,0.707070707070707,4.31313131313131,2.33876358585861,0.742574257425743,5.37,1.99703217326726,0.694911241124112,4.47953282828283,1.86707230453147
"122",124,"Feminin",60,70,50,65,65,55,55,80,61.25,63.75,0.73,3.64824120603015,1.82907933901243,0.725,3.375,0.659379478499959,0.742268041237113,3.72164948453608,2.77575149714214,0.70873786407767,5.31683168316832,2.05873264210736,0.726501476328696,4.01543059343364,1.83073573919047
"123",125,"Masculin",65,50,40,60,50,65,65,70,53.75,62.5,0.82,4.035,1.29520250449996,0.725,4.405,0.786359626499984,0.678899082568807,4.9537037037037,2.18765917375335,0.758241758241758,5.76923076923077,2.01448230991247,0.745535210202641,4.79073361823362,1.57092590366644
"124",126,"Feminin",50,80,60,70,50,30,30,80,65,47.5,0.795,3.58291457286432,2.02295571226468,0.705,2.84,0.764853686000006,0.725274725274725,3.78021978021978,1.76322466169432,0.660550458715596,4.27522935779816,1.47034098045853,0.72145629599758,3.61959092772057,1.50534376010438
"125",128,"Masculin",30,40,30,40,60,50,40,65,35,53.75,0.815,5.32663316582915,1.42688829269894,0.725,5.395,0.948325543499996,0.663551401869159,4.8785046728972,2.09858156822431,0.720430107526882,5.74193548387097,1.94747413870965,0.73099537734901,5.33551833064933,1.60531738578322
"126",129,"Feminin",70,60,65,75,70,55,60,70,67.5,63.75,0.825,4.1,1.49474033400003,0.69,4.08040201005025,0.9522709005,0.682692307692308,3.93269230769231,2.35998620288462,0.75,4.69791666666667,3.41427030520833,0.736923076923077,4.20275274610231,2.05531693564824
"127",130,"Masculin",85,65,75,70,85,50,77,50,73.75,65.5,0.895,4.93969849246231,1.56801901291201,0.715,3.97,0.885201077500046,0.721649484536082,4.27835051546392,1.33016450081063,0.699029126213592,5.07766990291262,1.65401948768692,0.757669652687419,4.56642972770971,1.3593510197274
"129",132,"Feminin",85,70,85,80,65,80,50,65,80,65,0.865,5.12060301507538,2.29027288010421,0.69,4.33333333333333,0.844624045499968,0.711111111111111,4.79761904761905,4.16525062959844,0.7,5.01851851851852,2.56243537076235,0.741527777777778,4.81751847863657,2.46564573149124
"130",133,"Feminin",75,60,60,30,55,60,60,70,56.25,61.25,0.67,4.235,1.07761855349999,0.7,4.74371859296482,0.837868758000018,0.719626168224299,4.29906542056075,2.2850837140187,0.720430107526882,4.72043010752688,2.18742114516123,0.702514068937795,4.49955353026311,1.59699804266999
"131",134,"Masculin",20,40,80,70,50,30,60,60,52.5,50,0.795,4.18,1.62445164461652,0.7,3.48,1.08048717699999,0.711538461538462,4.50980392156863,3.74943098269239,0.75,4.21052631578947,4.4976971093751,0.739134615384615,4.09508255933953,2.738016728421
"132",135,"Masculin",80,70,40,30,55,50,30,40,55,43.75,0.83,5.11,1.73986573500002,0.725,4.70854271356784,1.39133799350001,0.66304347826087,3.85869565217391,2.58591550108696,0.722222222222222,5.43518518518519,3.30534455185187,0.735066425120773,4.77810588773173,2.25561594535971
"133",136,"Feminin",50,50,40,70,55,45,45,60,52.5,51.25,0.815,4.245,2.06121595100639,0.735,3.19,1.04429271100005,0.706521739130435,4.96703296703297,3.22733957903044,0.712962962962963,5.77358490566038,4.46607771194185,0.742371175523349,4.54390446817334,2.69973148824468
"134",137,"Feminin",65,75,70,70,70,70,50,80,70,67.5,0.755,2.94,1.28126606499994,0.73,3.025,0.995652757499968,0.731481481481482,2.50467289719626,2.21829343979134,0.739130434782609,4.71739130434783,1.90419966848332,0.738902979066023,3.29676605038602,1.59985298269364
"135",138,"Masculin",75,80,50,60,75,85,80,50,66.25,72.5,0.705,4.15151515151515,2.28940981307747,0.715,4.93,0.729410117000034,0.636363636363636,5.27272727272727,2.45732573643855,0.693069306930693,5.22772277227723,2.21904580238975,0.687358235823582,4.89549129912991,1.92379786722645
"136",139,"Feminin",90,80,70,70,70,75,60,85,77.5,72.5,0.78,4.115,1.74395976049994,0.715,4.055,0.865760905499988,0.680412371134021,3.95833333333333,2.17865954329902,0.718446601941748,5.09708737864078,2.45096602912628,0.723464743268942,4.30635517799353,1.80983655960631
"137",140,"Masculin",80,75,90,80,70,60,85,85,81.25,75,0.825,5.32,1.33422405804155,0.72,5.575,0.664317392500002,0.712765957446808,5.6063829787234,1.4765460287234,0.716981132075472,6.09433962264151,1.79492257641508,0.74368677238057,5.64893065034123,1.31750251392001
"138",141,"Masculin",60,60,50,70,45,60,30,50,60,46.25,0.665,4.635,1.63512824899998,0.705,4.8643216080402,1.11129388399998,0.704761904761905,4.17307692307692,1.89786627333332,0.694736842105263,4.93548387096774,2.91673738842103,0.692374686716792,4.65197060052122,1.89025644868858
"139",142,"Masculin",80,60,30,50,60,80,75,60,55,68.75,0.665,4.71,1.23715539624332,0.725,4.415,0.637496016499963,0.703703703703704,4.53703703703704,1.88485888885671,0.684782608695652,5.06521739130435,2.04854452839576,0.694621578099839,4.68181360708535,1.45201370749894
"140",143,"Masculin",70,80,50,70,65,80,50,60,67.5,63.75,0.8,4.18,2.146178679,0.715,4.16582914572864,1.55735937,0.684210526315789,4.4,2.44263589433767,0.714285714285714,5.13861386138614,2.8682722897597,0.728374060150376,4.4711107517787,2.25361155827434
"141",144,"Masculin",85,80,75,70,70,80,80,70,77.5,75,0.795,3.61928934010152,2.78339545377413,0.695,4.06030150753769,1.34546282850001,0.693877551020408,4.38541666666667,3.11805887208031,0.696078431372549,5.47474747474747,6.11311925145443,0.719988995598239,4.38493874726334,3.34000910145222
"142",145,"Masculin",75,70,70,80,55,60,50,85,73.75,62.5,0.8,4.375,1.64842054950002,0.72,4.395,1.07697395850001,0.71875,3.86458333333333,2.00791237499999,0.701923076923077,4.75,2.28672560673083,0.735168269230769,4.34614583333333,1.75500812243271
"143",146,"Feminin",30,60,50,40,60,50,30,40,45,45,0.71,5.17587939698493,1.96130003463765,0.715,5.085,0.846299706499981,0.698924731182796,5.06521739130435,1.75245886774192,0.728971962616822,5.73333333333333,2.02701199719627,0.713224173449905,5.26485753040565,1.64676765151896
"144",147,"Feminin",70,50,30,60,65,65,50,70,52.5,62.5,0.725,4.355,2.24106107500003,0.715,4.77386934673367,1.58987314299999,0.695238095238095,3.94174757281553,3.26591036000004,0.684210526315789,5.53763440860215,4.86461543368418,0.704862155388471,4.65206283203784,2.99036500292106
"145",148,"Feminin",70,80,75,95,35,37,43,55,80,42.5,0.8,3.855,3.26839077340677,0.7,2.62,0.895645436499976,0.678260869565217,4.85964912280702,2.49081327962022,0.729411764705882,5.18823529411765,3.85447875091654,0.726918158567775,4.13072110423117,2.62733206011088
"146",149,"Feminin",70,60,50,80,65,60,50,70,65,61.25,0.86,4.99,1.59876531499996,0.685,4.5,0.960991908000042,0.7,3.97272727272727,2.41254055985352,0.7,5.64772727272727,3.85979108829675,0.73625,4.77761363636364,2.20802221778757
"147",150,"Feminin",70,50,50,90,23,30,50,65,65,42,0.775,4.16243654822335,3.41208281699999,0.735,2.0251256281407,1.27512277900003,0.663551401869159,4.75700934579439,2.60136317806426,0.67741935483871,5.44565217391304,2.49776155969823,0.712742689176967,4.09755592401787,2.44658258344063
"148",151,"Masculin",80,60,60,60,70,50,70,70,65,65,0.8,4.965,1.31258902799998,0.7,4.005,1.0699989275,0.682692307692308,5.47115384615385,1.50230311538466,0.71875,6.07291666666667,1.70186119375003,0.725360576923077,5.12851762820513,1.39668806615867
"149",152,"Masculin",80,70,70,70,70,65,75,75,72.5,71.25,0.76,5.16666666666667,2.16044352979465,0.725,3.71356783919598,0.825599184500006,0.684210526315789,4.33684210526316,2.07430933157895,0.714285714285714,5.15238095238095,1.83180301047617,0.720874060150376,4.59236439087669,1.72303876408744
"150",153,"Feminin",76,80,70,65,64,53,40,40,72.75,49.25,0.875,5.97,1.832670344,0.71,4.75,0.875897764500014,0.71,4.52,2.06119814000003,0.71,5.93,1.64731048600001,0.75125,5.2925,1.60426918362501
"151",154,"Feminin",75,60,40,60,60,45,65,60,58.75,57.5,0.825,4.81,2.06960652241279,0.705,4.255,0.930739316000017,0.727272727272727,4.61467889908257,2.32880554273355,0.633333333333333,5.12359550561798,2.35013679661286,0.722651515151515,4.70081860117514,1.9198220444398
"152",155,"Feminin",70,80,50,60,87,65,65,82,65,74.75,0.885,5.83,1.23976022150001,0.705,4.83,0.696436493000003,0.731481481481482,4.58333333333333,3.0118630081178,0.652173913043478,5.19565217391304,1.87543314621685,0.74341384863124,5.10974637681159,1.70587321720867
"153",156,"Feminin",80,90,70,90,75,70,70,70,82.5,71.25,0.755,4.435,2.17236993145542,0.7,4.295,1.0287061825,0.676470588235294,4.17821782178218,4.22310153753422,0.704081632653061,4.79166666666667,4.99037707120449,0.708888055222089,4.42497112211221,3.10363868067353
"154",157,"Masculin",70,80,85,40,50,60,70,65,68.75,61.25,0.795,4.21608040201005,1.72148818799999,0.715,3.55778894472362,0.853506436500031,0.699029126213592,4.72277227722772,2.40951724466022,0.711340206185567,4.51041666666667,2.54382117731957,0.73009233309979,4.25176457265701,1.88208326161995
"155",158,"Masculin",70,50,70,70,30,25,20,45,65,30,0.765,4.07,1.81456972001971,0.735,4.085,1.0705878095,0.684210526315789,3.72340425531915,2.20530072947366,0.742857142857143,5.53333333333333,2.3960143733333,0.731766917293233,4.35293439716312,1.87161815808167
"156",159,"Masculin",70,50,20,20,70,55,20,60,40,51.25,0.905,4.678391959799,1.68833386000002,0.7,3.285,1.41936453200002,0.699029126213592,3.43137254901961,2.54468251165053,0.721649484536082,4.69072164948454,2.72614807216494,0.756419652687419,4.02137153957579,2.09463224395388
"157",160,"Feminin",90,80,75,70,60,50,70,60,78.75,60,0.725,5.865,1.57053715888024,0.72,5.595,1.083664968,0.707547169811321,6.47169811320755,3.65158951004766,0.712765957446808,6.84042553191489,2.95479728824091,0.716328281814532,6.19303091128061,2.3151472312922
"158",161,"Masculin",60,70,75,65,40,70,60,50,67.5,55,0.7,3.715,2.15998081049996,0.715,4.095,0.846159970499994,0.670212765957447,4.30851063829787,2.65446908950155,0.669811320754717,4.35849056603774,2.63556505899315,0.688756021678041,4.1192503010839,2.07404373237366
"159",162,"Masculin",65,70,60,60,45,75,20,85,63.75,56.25,0.795,4.21319796954315,1.74879119524939,0.705,3.19,0.841429229500022,0.673469387755102,3.28865979381443,1.72187199285711,0.715686274509804,4.7843137254902,2.63105429803919,0.722288915566226,3.86904287221194,1.73578667891143
"160",163,"Masculin",50,40,40,45,35,45,45,70,43.75,48.75,0.725,3.44,2.19455035449999,0.75,4.01522842639594,1.3217346805,0.666666666666667,2.45161290322581,1.6708714494624,0.719626168224299,5.16822429906542,2.40814953364475,0.715323208722741,3.76876640717179,1.89882650452679
"161",164,"Feminin",70,70,70,70,40,50,40,40,70,42.5,0.74,3.97,1.68407567325939,0.71,2.935,0.597753963500029,0.696078431372549,4.76470588235294,2.65657539803917,0.704081632653061,5.98979591836735,2.93619084183675,0.712540016006403,4.41487545018007,1.96864896915883
